n_ms2rt_tuples,sample,n_cand_tot,n_cand_med,n_cand_avg,n_cand_max,training_time,scoring_time
15,0,29468,1883.0,1964.5333333333333,5924,783.8989474773407,90.78362083435059
15,1,14494,746.0,966.2666666666667,4922,148.1693594455719,17.1640408039093
15,2,26827,984.0,1788.4666666666667,4922,660.1966161727905,75.03034234046936
15,3,22012,880.0,1467.4666666666667,5924,370.4685218334198,43.97299385070801
15,4,34640,1567.0,2309.3333333333335,6178,1091.270029783249,127.5338864326477
15,5,15475,782.0,1031.6666666666667,3393,184.54847693443298,21.886481761932373
15,6,22488,1368.0,1499.2,3906,443.61567664146423,51.20915937423706
15,7,17038,934.0,1135.8666666666666,3278,231.71381950378418,26.540234804153442
15,8,10753,418.0,716.8666666666667,2495,80.979731798172,9.15127444267273
15,9,20926,1015.0,1395.0666666666666,4048,369.7474036216736,42.076417207717896
30,0,46262,994.0,1542.0666666666666,5924,996.5837361812592,121.00170588493347
30,1,30919,764.0,1030.6333333333334,5924,385.1454293727875,47.50756001472473
30,2,46119,868.0,1537.3,6178,955.2200310230255,107.81538915634155
30,3,37856,734.0,1261.8666666666666,5924,610.0103211402893,73.59343576431274
30,4,56788,999.0,1892.9333333333334,6943,1522.6364793777466,174.10415315628052
30,5,32535,849.0,1084.5,4048,450.8690142631531,51.76194977760315
30,6,35966,814.0,1198.8666666666666,3906,530.439709186554,61.95759439468384
30,7,44074,894.0,1469.1333333333334,6943,819.9261701107025,98.01332759857178
30,8,32864,571.0,1095.4666666666667,3899,451.84245586395264,52.88641428947449
30,9,39629,854.0,1320.9666666666667,4922,688.4458520412445,80.2738025188446
45,0,79709,1054.0,1771.3111111111111,7885,2146.8437237739563,230.3633532524109
45,1,53593,828.0,1190.9555555555555,6178,819.7727508544922,94.93313646316528
45,2,66542,786.0,1478.7111111111112,7885,1360.8555128574371,156.8537197113037
45,3,54915,803.0,1220.3333333333333,5924,870.1799731254578,102.35956406593323
45,4,76463,962.0,1699.1777777777777,6943,1992.9323933124542,341.8669364452362
45,5,55375,828.0,1230.5555555555557,6943,884.8482899665833,103.40624713897705
45,6,53583,797.0,1190.7333333333333,4922,839.2551503181458,98.66243553161621
45,7,72868,993.0,1619.2888888888888,6943,1585.5488097667694,181.61459851264954
45,8,48384,581.0,1075.2,4922,657.0590703487396,75.08412265777588
45,9,63738,908.0,1416.4,6943,1343.6478819847107,133.81348991394043
60,0,93954,879.5,1565.9,7885,2101.228137731552,239.6103093624115
60,1,75432,815.5,1257.2,6943,1243.4814772605896,142.82819819450378
60,2,84963,791.5,1416.05,7885,1730.6615600585938,184.88724517822266
60,3,75418,814.0,1256.9666666666667,5924,1246.97833776474,143.78378343582153
60,4,89665,811.0,1494.4166666666667,6943,1895.671077489853,220.06515836715698
60,5,72021,772.0,1200.35,6943,1157.3875076770782,131.1562671661377
60,6,79113,814.0,1318.55,5924,1409.961990594864,164.6890902519226
60,7,84741,772.0,1412.35,6943,1629.9391565322876,195.70120000839233
60,8,69444,717.5,1157.4,5924,1029.945270061493,120.19753670692444
60,9,89946,1025.5,1499.1,6943,1815.1649315357208,211.88129496574402
75,0,109147,828.0,1455.2933333333333,7885,2241.3808376789093,258.6144018173218
75,1,96804,825.0,1290.72,6943,1700.4900560379028,197.52765774726868
75,2,98428,689.0,1312.3733333333332,7885,1848.627500295639,211.6628873348236
75,3,106147,880.0,1415.2933333333333,7885,2059.446753501892,235.32714891433716
75,4,102359,746.0,1364.7866666666666,6943,2087.68395113945,223.94156765937805
75,5,96914,782.0,1292.1866666666667,7885,1669.2768347263336,194.15446138381958
75,6,92029,782.0,1227.0533333333333,5924,1552.2166681289673,179.83130407333374
75,7,99057,786.0,1320.76,6943,1811.546894311905,204.77839422225952
75,8,87094,689.0,1161.2533333333333,5924,1371.4547746181488,159.06851243972778
75,9,103410,962.0,1378.8,6943,1939.937091588974,221.03946900367737
